,Player,Goals,Team
2,Raul,3,WOLVES
13,Moutinho,3,WOLVES
1,Jota,1,WOLVES
6,D. James,3,UNITED
3,Tosun,2,EVERTON
4,Martial,2,UNITED
5,Pogba,2,UNITED
7,Richarlison,2,EVERTON
14,Adrien Silva,2,WOLVES
8,Matic,1,UNITED
16,Vardy,2,LEICESTER
15,Lewin,1,EVERTON
9,Mata,1,UNITED
12,Rashford,1,UNITED
10,Maddison,1,LEICESTER
17,Walcott,0,EVERTON
