,Playmaker,Assists,Team
1,Rashford,3,UNITED
2,Matic,2,UNITED
3,D. James,1,UNITED
4,Tosun,1,EVERTON
5,Adama,1,WOLVES
6,Alexis,1,UNITED
7,Vardy,1,LEICESTER
8,Maguire,1,UNITED
9,Gomes,1,EVERTON
10,Richarlison,2,EVERTON
15,Adrien Silva,2,LEICESTER
16,Otto,2,WOLVES
11,Moutinho,1,WOLVES
12,Mata,0,UNITED
13,Maddison,0,LEICESTER
14,Sigurdsson,0,EVERTON
